onset_ms_1,state_1,text_1,onset_ms_2,state_2,text_2,onset_ms_3,state_3,text_3,onset_ms_4,state_4,text_4,onset_ms_5,state_5,text_5,measureNum,measureDur_s,phaseFactor,phaseBaseDur
0,phoneDown,Hold Phone Up: 10,0,phoneDown,Begin in 10,0,phoneDown,Begin in 10,0,phoneDown,Begin in 10,0,phoneDown,Begin in 10,1,10,0.0125,4000
1000,phoneDown,Hold Phone Up: 9,1000,phoneDown,Begin in 9,1000,phoneDown,Begin in 9,1000,phoneDown,Begin in 9,1000,phoneDown,Begin in 9,,,,
2000,phoneDown,Hold Phone Up: 8,2000,phoneDown,Begin in 8,2000,phoneDown,Begin in 8,2000,phoneDown,Begin in 8,2000,phoneDown,Begin in 8,,,,
3000,phoneDown,Hold Phone Up: 7,3000,phoneDown,Begin in 7,3000,phoneDown,Begin in 7,3000,phoneDown,Begin in 7,3000,phoneDown,Begin in 7,,,,
4000,phoneDown,Hold Phone Up: 6,4000,phoneDown,Begin in 6,4000,phoneDown,Begin in 6,4000,phoneDown,Begin in 6,4000,phoneDown,Begin in 6,,,,
5000,phoneDown,Hold Phone Up: 5,5000,phoneDown,Begin in 5,5000,phoneDown,Begin in 5,5000,phoneDown,Begin in 5,5000,phoneDown,Begin in 5,,,,
6000,phoneDown,Hold Phone Up: 4,6000,phoneDown,Begin in 4,6000,phoneDown,Begin in 4,6000,phoneDown,Begin in 4,6000,phoneDown,Begin in 4,,,,
7000,phoneDown,Hold Phone Up: 3,7000,phoneDown,Begin in 3,7000,phoneDown,Begin in 3,7000,phoneDown,Begin in 3,7000,phoneDown,Begin in 3,,,,
8000,phoneDown,Hold Phone Up: 2,8000,phoneDown,Begin in 2,8000,phoneDown,Begin in 2,8000,phoneDown,Begin in 2,8000,phoneDown,Begin in 2,,,,
9000,phoneDown,Hold Phone Up: 1,9000,phoneDown,Begin in 1,9000,phoneDown,Begin in 1,9000,phoneDown,Begin in 1,9000,phoneDown,Begin in 1,,,,
10000,bacon01rise,Gaze at Image,10000,bacon01rise,Gaze at Image,10000,bacon01rise,Gaze at Image,10000,bacon01rise,Gaze at Image,10000,bacon01rise,Gaze at Image,2,20,,
30000,bacon01flickersubtle,Gaze at Image,30000,bacon01flickersubtle,Gaze at Image,30000,bacon01flickersubtle,Gaze at Image,30000,bacon01flickersubtle,Gaze at Image,30000,bacon01flickersubtle,Gaze at Image,3,20,,
50000,phoneDown,"Tacet 6""",50000,phoneDown,"Tacet 6""",50000,phoneDown,"Tacet 6""",50000,phoneDown,"Tacet 6""",50000,phoneDown,"Tacet 6""",4,6,,
56000,phoneDown,"Tacet 24""",56000,phoneDown,"Tacet 24""",56000,phoneUp,"Phone Up (4"")",56000,phoneUp,"Phone Up (4.05"")",56000,phoneDown,"Tacet 24""",5,24,,
,,,,,,60000,phoneDown,"Phone Down (4"")",60050,phoneDown,"Phone Down (4.05"")",,,,,,,
,,,,,,64000,phoneUp,"Phone Up (4"")",64100,phoneUp,"Phone Up (4.05"")",,,,,,,
,,,,,,68000,phoneDown,"Phone Down (4"")",68150,phoneDown,"Phone Down (4.05"")",,,,,,,
,,,,,,72000,phoneUp,"Phone Up (4"")",72200,phoneUp,"Phone Up (4.05"")",,,,,,,
,,,,,,76000,phoneDown,"Phone Down (4"")",76250,phoneDown,"Phone Down (4.05"")",,,,,,,
80000,phoneDown,"Tacet 28""",80000,phoneDown,"Tacet 28""",80000,phoneUp,"Phone Up (4"")",80300,phoneUp,"Phone Up (4.05"")",80000,phoneDown,"Tacet 28""",6,28,,
,,,,,,84000,phoneDown,"Phone Down (4"")",84350,phoneDown,"Phone Down (4.05"")",,,,,,,
,,,,,,88000,phoneUp,"Phone Up (4"")",88400,phoneUp,"Phone Up (4.05"")",,,,,,,
,,,,,,92000,phoneDown,"Phone Down (4"")",92450,phoneDown,"Phone Down (4.05"")",,,,,,,
,,,,,,96000,phoneUp,"Phone Up (4"")",96500,phoneUp,"Phone Up (4.05"")",,,,,,,
,,,,,,100000,phoneDown,"Phone Down (4"")",100550,phoneDown,"Phone Down (4.05"")",,,,,,,
,,,,,,104000,phoneUp,"Phone Up (4"")",104600,phoneUp,Phone Up (hold!),,,,,,,
108000,phoneDown,"Tacet 28""",108000,phoneDown,"Tacet 28""",108000,phoneDown,"Phone Down (4"")",108000,phoneUp,Phone Up (hold!),108000,phoneDown,"Tacet 28""",7,25,,
,,,,,,112000,phoneUp,"Phone Up (4"")",115600,phoneDown,Phone Down (brief!),,,,,,,
,,,,,,116000,phoneDown,"Phone Down (4"")",116600,phoneUp,Phone Up (brief!),,,,,,,
,,,,,,120000,phoneUp,"Phone Up (3"")",117600,phoneDown,Phone Down (brief!),,,,,,,
,,,,,,123000,phoneDown,"Phone Down (3"")",123000,phoneUp,"Phone Up (3"")",,,,,,,
,,,,,,126000,phoneUp,"Phone Up (3"")",126000,phoneDown,"Phone Down (3"")",,,,,,,
,,,,,,129000,phoneDown,"Phone Down (4"")",129000,phoneUp,"Phone Up (4"")",,,,,,,
133000,phoneDown,"Tacet 10""",133000,phoneDown,"Tacet 10""",133000,phoneDown,Phone Down (get ready for INST),133000,phoneUp,Phone Up (brief!),133000,phoneDown,"Tacet 10""",8,8,,
,,,,,,,,,134000,phoneDown,Phone Down (brief!),,,,,,,
,,,,,,,,,135000,phoneUp,Phone Up (brief!),,,,,,,
